963,"かっ込み","ながら","気がつい",2
964,"ながら","気がつい","た",2
965,"気がつい","た","。",2
966,"た","。","他",2
967,"。","他","の",5
968,"他","の","奴ら",2
969,"の","奴ら","の",2
970,"奴ら","の","レベル",2
971,"の","レベル","も",2
972,"レベル","も","なかなか",2
973,"も","なかなか","、",2
974,"なかなか","、","いや",2
975,"、","いや","、",3
976,"いや","、","高い",2
977,"、","高い","。",2
978,"高い","。","かなり",2
979,"。","かなり","高い",2
980,"かなり","高い","。",2
981,"高い","。","うち",2
982,"。","うち","の",4
983,"うち","の","地元",2
984,"の","地元","の",2
985,"地元","の","他",2
986,"の","他","の",3
987,"他","の","ファースト",2
988,"の","ファースト","の",3
989,"ファースト","の","奴ら",3
990,"の","奴ら","でも",2
991,"奴ら","でも","ヤバ",2
992,"でも","ヤバ","いか",2
993,"ヤバ","いか","も",2
994,"いか","も","しん",2
995,"も","しん","ない",2
996,"しん","ない","。",2
997,"ない","。","そう",3
998,"。","そう","思う",2
999,"そう","思う","と",2
1000,"思う","と","、",2
1001,"と","、","急",2
1002,"、","急","に",2
1003,"急","に","楽しく",2
1004,"に","楽しく","なっ",2
1005,"楽しく","なっ","て",2
1006,"た","。","昔",2
1007,"。","昔","なら",2
1008,"昔","なら","負けん気",2
1009,"なら","負けん気","が",2
1010,"負けん気","が","出",2
1011,"が","出","た",2
1012,"出","た","だろ",2
1013,"た","だろ","う",4
